Tên sản phẩm,Giá bán,Giá vốn,Loại sản phẩm,Đơn vị tính,Danh mục sản phẩm,Thuế,,,,,,
Bột Matcha Trà Xanh - Túi 250 g,350000,345000,Storable Product,Túi,Bột,10%,,,,,,
Bột Cần Tây DalatFarm - Túi 110g,205000,200000,Storable Product,Túi,Bột,10%,,,,,,
Bột Cần Tây DalatFarm - Hộp 110g,225000,220000,Storable Product,Túi,Bột,10%,,,,,,
Bột Cần Tây DalatFarm - Túi 250g,515000,510000,Storable Product,Túi,Bột,10%,,,,,,
Bột Rau Má - Túi 110 g,180000,175000,Storable Product,Túi,Bột,10%,,,,,,
Bột Rau Má - Hộp 110 g,200000,195000,Storable Product,Túi,Bột,10%,,,,,,
Bột Củ Dền - Túi 110 g,150000,145000,Storable Product,Túi,Bột,10%,,,,,,
Bột Củ Dền - Hộp 110 g,170000,165000,Storable Product,Túi,Bột,10%,,,,,,
Bột Củ Dền - Túi 250 g,350000,345000,Storable Product,Túi,Bột,10%,,,,,,
Bột Rau Má - Túi 250 g,450000,445000,Storable Product,Túi,Bột,10%,,,,,,
Dâu Tây Sấy Giòn - Túi 80g,120000,110000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Dâu Tây Sấy Giòn - Hộp 100g,150000,140000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Dâu Tây Sấy Giòn - Hộp thiếc 60g,120000,110000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Thập Cẩm Sấy DalatFarm - Túi 250 g,75000,65000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Xoài Sấy Dẻo - Túi 220g,95000,85000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Xoài Sấy Dẻo - Hộp 300 g,140000,130000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Xoài Sấy Dẻo - Hộp thiếc 300 g,150000,140000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Mít Sấy Giòn - Túi 200g,90000,80000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Mứt Vỏ Bưởi - Túi 220g,95000,85000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Mứt Vỏ Bưởi - Hộp 200g,110000,100000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Mứt Vỏ Bưởi - Hộp thiếc 200g,125000,115000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Thập Cẩm Sấy DalatFarm - Hộp 250 g,90000,80000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Mứt Vỏ Bưởi Chanh Dây - Túi 220g,95000,85000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Mứt Vỏ Bưởi Chanh Dây - Hộp 200g,110000,100000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Mứt Vỏ Bưởi Chanh Dây - Hộp thiếc 200g,125000,115000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Mít Sấy Giòn DalatFarm - Hộp 160 g,90000,80000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Thơm Sấy Dẻo - Túi 220g,115000,105000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Thơm Sấy Dẻo - Hộp 300g,160000,150000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Thơm Sấy Dẻo - Hộp thiếc 300g,170000,160000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Hồng Treo Gió DalatFarm - Hộp 500g,285000,275000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Thơm Sấy Muối Ớt - Túi 220g,115000,105000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Thơm Sấy Muối Ớt - Hộp 300g,160000,150000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Thơm Sấy Muối Ớt - Hộp thiếc 300g,170000,160000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Sữa Chua Sấy Giòn - Túi 80g,95000,85000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Xoài Sấy Muối Ớt - Túi 220g,95000,85000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Xoài Sấy Muối Ớt - Hộp 300g,140000,130000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
